sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
55349,44337,26679,47417,21787,9984,48648,15874,5407,10499,58112,33824
37429,26417,8503,27961,13083,10240,45064,18690,6943,64514,2049,29728
2869,58928,37942,55608,57114,10752,45320,14594,4383,58626,7681,35872
22837,11569,58678,12345,2331,9984,39944,6658,3615,1539,8449,47136
31285,19761,1591,21049,8731,12288,48648,20738,8991,13059,11521,57888
10037,49,45366,63800,62490,10240,43016,15106,4639,4867,21505,57888
31797,20529,2359,21817,11035,9984,36360,13058,9759,3075,12801,1313
61236,52016,30006,48184,54042,9728,37640,8962,13855,9219,9729,10273
2613,58928,37686,55352,60442,9984,32264,19202,18463,4099,5633,5921
27957,17457,64054,17465,8475,9728,32520,9730,12319,7427,60416,5409
33589,24881,5431,23865,12571,10752,34056,2818,1567,2307,6401,58144
17205,9009,53302,6201,3867,9984,26376,4610,10783,4099,257,52768
24629,15153,60726,13881,8219,10240,38664,6914,5151,63746,65024,51232
24885,15153,60726,13881,6939,10496,28936,10754,11039,59394,3329,42272
28981,22321,65078,18745,9499,9728,20232,13826,16927,59138,4865,46880
10805,7985,46646,64568,283,10752,22280,62465,12575,54530,13825,39200
49717,44593,21303,41017,22555,10752,15368,64001,17951,3,3585,48416
30005,28209,1079,19769,11035,11264,17160,258,26143,60930,6913,49952
3637,4145,39478,56888,61466,9984,13832,514,11039,64514,2817,54560
31029,31537,2615,21305,12827,10240,14600,514,18463,55298,1,54816
58676,61744,29494,46648,55578,10752,21256,770,13087,62466,5889,50976
37173,38449,9015,27961,17435,10752,11784,5122,19231,63746,1025,52768
38965,40241,10807,29497,16155,11264,8968,61697,23583,63490,7681,61728
5429,7985,42550,60472,63258,9472,12552,59905,22815,53250,3841,60192
35637,38193,7735,26681,15643,12032,11016,62721,17439,58882,6913,1313
55860,60208,26678,44344,56346,9984,9480,3842,26911,63746,62976,1825
37685,39217,9271,29241,16155,9728,10248,64769,10015,7171,9217,289
3125,6961,39478,58168,63770,9984,264,56833,13855,59138,1025,60704
3381,6449,38966,57912,63258,12288,2568,65025,6687,3843,3841,57888
309,3633,35638,54584,61210,11776,18440,64001,20511,1795,1281,3361
